"GEOID","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT","med_income","med_homeval"
"01001",0.202,0.028,0.197,0.096,0.074,0.156,0.234,0.164,0.056,0.004,0.039,0.156,0.014,0.04,0.009,0.109,62660,164900
"01003",0.183,0.034,0.232,0.084,0.093,0.212,0.212,0.139,0.042,0.008,0.166,0.102,0.019,0.023,0.015,0.109,64346,226600
"01005",0.377,0.058,0.251,0.235,0.107,0.198,0.207,0.181,0.113,0.02,0.014,0.292,0.038,0.117,0.12,0.318,36422,89500
"01007",0.29,0.087,0.232,0.211,0.084,0.168,0.212,0.196,0.072,0.003,0.027,0.306,0.013,0.075,0.064,0.202,54277,102900
"01009",0.229,0.06,0.194,0.182,0.102,0.183,0.23,0.17,0.053,0.022,0.009,0.239,0.023,0.048,0.01,0.169,52830,138100
"01011",0.474,0.037,0.233,0.266,0.122,0.166,0.211,0.112,0.163,0.018,0.041,0.424,0.008,0.104,0.071,0.384,29063,72600
"01013",0.338,0.068,0.225,0.124,0.11,0.212,0.223,0.162,0.072,0.001,0.008,0.215,0.006,0.05,0.018,0.214,45236,93500
"01015",0.287,0.069,0.23,0.149,0.108,0.179,0.212,0.202,0.069,0.005,0.037,0.146,0.017,0.056,0.032,0.166,50977,123200
"01017",0.288,0.036,0.231,0.165,0.108,0.197,0.208,0.208,0.056,0.003,0.072,0.136,0.053,0.07,0.018,0.214,47232,107000
"01019",0.256,0.04,0.199,0.181,0.102,0.232,0.189,0.203,0.046,0.009,0.012,0.269,0.007,0.032,0.012,0.218,43475,141000
"01021",0.228,0.053,0.16,0.178,0.115,0.168,0.237,0.194,0.038,0.021,0.005,0.306,0.026,0.033,0.01,0.186,56243,117300
"01023",0.319,0.052,0.193,0.176,0.082,0.233,0.199,0.236,0.065,0.003,0.009,0.334,0.006,0.057,0.013,0.305,38581,79800
"01025",0.297,0.125,0.2,0.186,0.095,0.204,0.22,0.196,0.078,0.001,0.014,0.252,0.014,0.106,0.016,0.29,44108,113700
"01027",0.291,0.057,0.206,0.167,0.081,0.208,0.205,0.196,0.056,0,0.007,0.239,0.021,0.064,0.018,0.249,45163,122400
"01029",0.277,0.026,0.178,0.175,0.101,0.196,0.228,0.214,0.049,0.004,0.003,0.315,0.026,0.068,0.011,0.26,48333,116500
"01031",0.262,0.048,0.206,0.134,0.109,0.171,0.237,0.183,0.088,0.017,0.016,0.133,0.02,0.04,0.013,0.148,59034,157700
"01033",0.231,0.034,0.229,0.136,0.079,0.2,0.209,0.173,0.063,0.009,0.031,0.084,0.014,0.047,0.009,0.238,52017,129700
"01035",0.386,0.044,0.179,0.106,0.086,0.234,0.205,0.209,0.056,0,0.013,0.26,0.007,0.07,0.005,0.33,37986,82800
"01037",0.222,0.044,0.153,0.165,0.062,0.244,0.161,0.256,0.047,0,0.001,0.3,0.037,0.038,0.035,0.215,50013,95900
"01039",0.301,0.055,0.209,0.142,0.103,0.217,0.219,0.208,0.072,0.001,0.01,0.204,0.016,0.064,0.019,0.217,46186,111900
"01041",0.284,0.061,0.207,0.179,0.085,0.198,0.229,0.169,0.053,0.005,0.004,0.262,0.011,0.073,0.019,0.346,43103,85800
"01043",0.233,0.043,0.186,0.154,0.106,0.188,0.223,0.182,0.058,0.008,0.027,0.201,0.019,0.029,0.014,0.153,52690,143700
"01045",0.296,0.078,0.233,0.143,0.1,0.175,0.231,0.208,0.075,0.009,0.017,0.18,0.007,0.052,0.018,0.172,50052,112900
"01047",0.408,0.091,0.284,0.147,0.095,0.194,0.236,0.198,0.087,0.002,0.017,0.174,0.014,0.146,0.015,0.239,34957,85400
"01049",0.336,0.039,0.206,0.223,0.146,0.173,0.239,0.154,0.055,0.047,0.011,0.228,0.034,0.042,0.015,0.171,44037,115100
"01051",0.187,0.042,0.185,0.115,0.082,0.158,0.217,0.152,0.069,0.007,0.032,0.163,0.013,0.043,0.049,0.117,67597,174800
"01053",0.383,0.092,0.224,0.177,0.123,0.186,0.227,0.203,0.063,0.004,0.007,0.204,0.005,0.061,0.069,0.286,38464,108200
"01055",0.272,0.06,0.221,0.139,0.117,0.194,0.214,0.174,0.069,0.009,0.031,0.107,0.017,0.042,0.015,0.164,46984,129600
